T average (derajat C),Sun Radiation (W/m2),RH Avg (%),Wind Direction (degree),Wind Speed Avg (m/s),Pressure Avg (hpA),Rain Rate (mm)
26.31666667,132.5166667,81.65555556,227.6854167,2.570138889,999.44375,4.8
27.14166667,181.7222222,78.52013889,151.0423611,2.306944444,998.9916667,1.8
26.61527778,182.2819444,79.22777778,207.5222222,3.852083333,999.8833333,0
27.46805556,283.3541667,75.83125,194.825,4.416666667,999.7673611,0
26.83055556,220.4583333,83.01875,201.4715278,2.353472222,999.25625,7.4
27.47291667,269.5138889,80.64097222,174.0229167,2.260416667,999.2638889,0
26.38819444,202.7159722,83.23125,182.2416667,2.034027778,999.35,0
27.35277778,196.15625,81.52430556,176.8020833,2.275,998.8319444,29.8
26.24444444,187.0444444,85.80555556,195.2125,2.327777778,998.7604167,5.6
26.68055556,222.1298611,83.41180556,211.4166667,2.528472222,998.5638889,0
27.09513889,239.2222222,80.72361111,259.3680556,2.883333333,998.1284722,63.4
27.66041667,264.3111111,79.84722222,235.7034722,2.554861111,997.8819444,0
25.83194444,180.2215278,88.60763889,245.0006944,2.465277778,997.5173611,83.4
25.43055556,140.70625,91.37569444,230.5458333,2.043055556,997.6972222,5.2
26.00694444,211.3826389,88.22361111,223.0472222,2.199305556,997.3722222,11.2
25.35069444,164.3875,87.98263889,255.8597222,2.409722222,997.1465278,6.2
27.63333333,246.225,79.17986111,207.6402778,2.182638889,996.2458333,0.2
26.90972222,219.7326389,85.68958333,223.0270833,2.679166667,995.8965278,13.4
27.05138889,185.0826389,80.06527778,263.24375,3.224305556,997.03125,0.6
26.96944444,180.6180556,83.55069444,266.9541667,2.764583333,997.5784722,1.8
26.06666667,207.4666667,86.53611111,271.5673611,3.2125,998.5048611,35.4
25.89444444,171.0215278,87.50625,277.9284722,2.855555556,999.1923611,6.4
27.21388889,201.9833333,80.47291667,291.10625,3.434027778,999.1972222,0.2
26.80138889,204.6381944,83.40486111,296.8618056,3.267361111,999.1840278,4.4
25.50347222,157.5375,89.20625,235.0986111,2.557638889,999.8402778,17.4
27.24027778,231.5083333,83.97083333,258.5506944,3.060416667,998.7361111,0.2
26.51041667,202.1006944,85.26875,230.1263889,3.007638889,998.1166667,14
26.19791667,223.7777778,85.84722222,291.7236111,3.111111111,998.5673611,4.4
27.29652778,223.2868056,80.79375,292.0451389,3.470833333,998.6631944,3
26.43263889,204.6875,84.16736111,260.6520833,2.945833333,999.9256944,0
25.95069444,188.9888889,86.84236111,230.4513889,2.8625,999.55625,0.4
25.73194444,217.7319444,87.21111111,266.11875,2.924305556,999.8166667,16.6
27.10486111,270.3055556,83.37430556,157.2722222,2.397916667,999.2055556,0.2
26.44583333,176.4423611,84.92083333,242.1555556,2.686111111,1000.21875,2
26.37916667,233.3645833,86.71805556,179.1243056,2.150694444,1000.493056,9.6
26.36527778,228.8513889,85.36319444,199.5618056,2.427777778,999.8270833,18.6
26.02430556,195.1076389,88.10208333,241.8638889,2.327083333,999.15,0.6
26.02569444,177.8659722,89.75763889,252.7409722,2.564583333,999.4048611,20
26.49444444,220.0402778,86.93055556,226.6659722,2.745833333,999.7743056,0.4
26.53541667,228.0395833,84.42361111,226.0055556,2.99375,999.7618056,3.8
25.20347222,210.7965278,90.75694444,148.1458333,2.2625,1000.640972,16.2
25.94097222,192.1694444,85.96736111,265.9,2.559027778,1001.138194,0.2
25.93888889,237.7784722,86.58333333,254.3506944,2.757638889,1001.5125,12.6
27.53888889,273.5472222,83.30763889,184.8027778,2.796527778,1000.574306,0
27.84930556,242.3402778,81.43194444,232.8694444,3.36875,999.5347222,0.6
25.98194444,163.3291667,88.28680556,193.0729167,2.690972222,1001.021528,1.2
26.16597222,277.4972222,85.36527778,201.5847222,2.827777778,1000.470833,54.6
25.86875,141.9368056,88.53541667,195.1805556,1.715972222,1000.629861,0.4
26.73055556,207.9277778,85.94791667,209.2361111,2.452083333,1000.252083,0.2
26.5,228.2298611,87.61805556,209.3125,2.774305556,1000.575694,11.4
26.90347222,242.64375,86.91875,137.9145833,1.815277778,1000.721528,0
26.66736111,185.0180556,86.13402778,181.9368056,2.39375,1000.000694,0
25.92708333,241.86875,86.39444444,230.5125,2.988888889,998.6840278,29.2
27.39166667,317.2833333,82.12916667,196.2666667,2.327777778,997.9569444,0
26.15833333,263.1180556,86.49513889,230.2229167,2.604166667,998.3215278,88.4
26.71388889,262.0847222,85.51944444,179.93125,2.215972222,998.0833333,0
27.84722222,274.4194444,80.95416667,197.5444444,3.070138889,996.8180556,0
25.70208333,183.1909722,87.94513889,237.1819444,2.404166667,996.5486111,1.8
27.34444444,241.6680556,81.91180556,225.2291667,2.177083333,997.3951389,0
26.86111111,263.6534722,82.80833333,214.6243056,2.951388889,997.4125,22.4
27.01458333,211.2694444,85.07777778,228.2076389,2.592361111,997.0319444,1.6
25.08888889,83.48541667,92.43402778,172.1729167,2.252777778,997.0833333,3.4
26.06527778,270.7326389,88.37083333,224.4847222,3.013194444,996.2736111,35
26.45347222,213.9534722,86.37430556,242.05625,2.543055556,998.0694444,0.8
24.14791667,63.96666667,92.33402778,171.7756944,2.655555556,999.8993056,5.4
26.39166667,222.3402778,81.52430556,213.8326389,2.176388889,999.1055556,0
27.07569444,279.1111111,81.02708333,163.1729167,2.344444444,999.15,1.2
25.80902778,252.3430556,87.69097222,183.4333333,2.590277778,999.29375,34
27.03125,275.5965278,80.61111111,188.9159722,3.648611111,999.1965278,1
25.12013889,154.7902778,90.89166667,176.0763889,2.268055556,998.7402778,7.2
25.79861111,222.3680556,87.88819444,115.3694444,2.255555556,999.1305556,4
27.05694444,242.9916667,83.30138889,149.0166667,2.757638889,999.8875,1.8
27.18819444,220.4472222,82.21319444,206.1798611,2.511805556,1000.233333,0
27.34652778,263.8451389,79.95694444,241.2465278,2.857638889,999.7,1.2
25.93888889,141.8493056,86.34305556,226.90625,2.175694444,1000.132639,1
26.33194444,206.4944444,84.55208333,228.1270833,2.656944444,999.7527778,51.2
26.7125,271.4958333,80.78125,207.9194444,3.128472222,998.7013889,0.2
25.99652778,178.2972222,81.01319444,226.6243056,2.715972222,997.9520833,0.4
27.17916667,264.0159722,82.03958333,240.8951389,2.76875,997.3236111,0
26.36944444,165.5277778,87.40486111,193.0763889,2.334027778,998.4847222,5.6
